symbol,name
CTRA.JK,Ciputra Development Tbk.
CTTH.JK,Citatah Tbk.
DART.JK,Duta Anggada Realty Tbk.
DEFI.JK,Danasupra Erapacific Tbk.
DEWA.JK,Darma Henwa Tbk
DGIK.JK,Nusa Konstruksi Enjiniring Tbk
DILD.JK,Intiland Development Tbk.
DKFT.JK,Central Omega Resources Tbk.
DLTA.JK,Delta Djakarta Tbk.
DMAS.JK,Puradelta Lestari Tbk.
DNAR.JK,Bank Oke Indonesia Tbk.
DNET.JK,Indoritel Makmur Internasional
DOID.JK,BUMA Internasional Grup Tbk.
DPNS.JK,Duta Pertiwi Nusantara Tbk.
DSFI.JK,Dharma Samudera Fishing Indust
DSNG.JK,Dharma Satya Nusantara Tbk.
DSSA.JK,Dian Swastatika Sentosa Tbk
DUTI.JK,Duta Pertiwi Tbk
DVLA.JK,Darya-Varia Laboratoria Tbk.
DYAN.JK,Dyandra Media International Tb
ECII.JK,Electronic City Indonesia Tbk.
EKAD.JK,Ekadharma International Tbk.
ELSA.JK,Elnusa Tbk.
ELTY.JK,Bakrieland Development Tbk.
EMDE.JK,Megapolitan Developments Tbk.
EMTK.JK,Elang Mahkota Teknologi Tbk.
ENRG.JK,Energi Mega Persada Tbk.
EPMT.JK,Enseval Putera Megatrading Tbk
ERAA.JK,Erajaya Swasembada Tbk.
ERTX.JK,Eratex Djaja Tbk.
ESSA.JK,ESSA Industries Indonesia Tbk.
ESTI.JK,Ever Shine Tex Tbk.
ETWA.JK,Eterindo Wahanatama Tbk
EXCL.JK,XLSMART Telecom Sejahtera Tbk.
FAST.JK,Fast Food Indonesia Tbk.
FASW.JK,Fajar Surya Wisesa Tbk.
FISH.JK,FKS Multi Agro Tbk.
FMII.JK,Fortune Mate Indonesia Tbk
FORU.JK,Fortune Indonesia Tbk
FPNI.JK,Lotte Chemical Titan Tbk.
GAMA.JK,Aksara Global Development Tbk.
GDST.JK,Gunawan Dianjaya Steel Tbk.
GDYR.JK,Goodyear Indonesia Tbk.
GEMA.JK,Gema Grahasarana Tbk.
GEMS.JK,Golden Energy Mines Tbk.
GGRM.JK,Gudang Garam Tbk.
GIAA.JK,Garuda Indonesia (Persero) Tbk
GJTL.JK,Gajah Tunggal Tbk.
GLOB.JK,Globe Kita Terang Tbk.
GMTD.JK,Gowa Makassar Tourism Developm
GOLD.JK,Visi Telekomunikasi Infrastruk
GOLL.JK,Golden Plantation Tbk.
GPRA.JK,Perdana Gapuraprima Tbk.
GSMF.JK,Equity Development Investment 
GTBO.JK,Garda Tujuh Buana Tbk
GWSA.JK,Greenwood Sejahtera Tbk.
GZCO.JK,Gozco Plantations Tbk.
HADE.JK,Himalaya Energi Perkasa Tbk.
HDFA.JK,Radana Bhaskara Finance Tbk.
HERO.JK,DFI Retail Nusantara Tbk.
